,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[246],0.143,0.979,-1.687,1.995,0.005,0.009,43252.0,10228.0,1.0
participant_intercept[247],-0.394,0.973,-2.175,1.479,0.005,0.008,39424.0,11228.0,1.0
participant_intercept[248],0.902,0.991,-0.997,2.74,0.005,0.006,39283.0,10420.0,1.0
participant_intercept[249],0.93,0.975,-0.984,2.705,0.005,0.006,44416.0,10796.0,1.0
participant_intercept[250],0.914,0.97,-0.855,2.781,0.005,0.006,40914.0,10619.0,1.0
participant_intercept[251],0.067,1.0,-1.81,1.923,0.005,0.01,41140.0,10580.0,1.0
participant_intercept[252],-0.483,0.991,-2.292,1.417,0.005,0.008,41843.0,10676.0,1.0
participant_intercept[253],-1.104,0.981,-2.937,0.738,0.005,0.006,43113.0,10970.0,1.0
participant_intercept[254],0.933,1.001,-0.906,2.834,0.005,0.007,40927.0,9949.0,1.0
participant_intercept[255],-0.023,0.995,-1.905,1.817,0.005,0.01,45144.0,10775.0,1.0
participant_intercept[256],0.942,0.989,-0.855,2.853,0.005,0.006,41899.0,10727.0,1.0
participant_intercept[257],-0.378,0.973,-2.199,1.456,0.005,0.009,40536.0,10520.0,1.0
participant_intercept[258],0.308,0.996,-1.571,2.156,0.005,0.01,38857.0,8778.0,1.0
participant_intercept[259],-0.259,0.983,-2.086,1.643,0.005,0.009,40501.0,10635.0,1.0
participant_intercept[260],0.944,0.984,-0.86,2.829,0.005,0.006,44790.0,9997.0,1.0
participant_intercept[261],0.939,0.988,-0.898,2.814,0.005,0.006,40369.0,10915.0,1.0
participant_intercept[262],0.596,0.977,-1.258,2.41,0.005,0.008,39293.0,10372.0,1.0
participant_intercept[263],-0.428,0.994,-2.252,1.463,0.005,0.009,37543.0,10804.0,1.0
participant_intercept[264],-0.385,0.982,-2.219,1.464,0.005,0.009,41924.0,10463.0,1.0
participant_intercept[265],0.941,0.993,-0.927,2.794,0.005,0.006,37056.0,10269.0,1.0
